ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	test.scala.simulations.LandingSimulation	landingsimulation	1612363213933	 	3.4.1
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
USER	Get Landing Scenario	START	1612363215180
REQUEST		Get Landing	1612363215206	1612363218961	OK	 
USER	Get Landing Scenario	END	1612363218982
REQUEST		Get Landing	1612363215205	1612363218996	OK	 
USER	Get Landing Scenario	END	1612363218997
REQUEST		Get Landing	1612363215205	1612363219219	OK	 
USER	Get Landing Scenario	END	1612363219220
REQUEST		Get Landing	1612363215205	1612363219335	OK	 
USER	Get Landing Scenario	END	1612363219336
REQUEST		Get Landing	1612363215205	1612363219539	OK	 
USER	Get Landing Scenario	END	1612363219540
REQUEST		Get Landing	1612363215206	1612363219762	OK	 
USER	Get Landing Scenario	END	1612363219763
REQUEST		Get Landing	1612363215206	1612363219803	OK	 
USER	Get Landing Scenario	END	1612363219804
REQUEST		Get Landing	1612363215205	1612363219824	OK	 
USER	Get Landing Scenario	END	1612363219825
REQUEST		Get Landing	1612363215205	1612363219924	OK	 
USER	Get Landing Scenario	END	1612363219925
REQUEST		Get Landing	1612363215205	1612363219996	OK	 
USER	Get Landing Scenario	END	1612363219997
REQUEST		Get Landing	1612363215205	1612363220010	OK	 
USER	Get Landing Scenario	END	1612363220011
REQUEST		Get Landing	1612363215205	1612363220059	OK	 
USER	Get Landing Scenario	END	1612363220060
REQUEST		Get Landing	1612363215205	1612363220138	OK	 
REQUEST		Get Landing	1612363215204	1612363220139	OK	 
USER	Get Landing Scenario	END	1612363220140
USER	Get Landing Scenario	END	1612363220140
REQUEST		Get Landing	1612363215205	1612363220197	OK	 
USER	Get Landing Scenario	END	1612363220198
REQUEST		Get Landing	1612363215205	1612363220219	OK	 
USER	Get Landing Scenario	END	1612363220220
REQUEST		Get Landing	1612363215206	1612363220252	OK	 
USER	Get Landing Scenario	END	1612363220253
REQUEST		Get Landing	1612363215206	1612363220355	OK	 
USER	Get Landing Scenario	END	1612363220357
REQUEST		Get Landing	1612363215204	1612363220843	OK	 
USER	Get Landing Scenario	END	1612363220844
REQUEST		Get Landing	1612363215206	1612363221200	OK	 
USER	Get Landing Scenario	END	1612363221202
